code,ticker,name,exchange,board,listing_date,listing_time_local,timezone,listing_datetime_local,listing_date_source,listing_time_basis,basis_confidence,exact_first_trade_time_available,first_price_date,listing_minus_first_price_days,date_alignment_status,effective_price_start_date,identity_review_priority,identity_review_status,identity_review_note,bazi,day_stem,month_branch,main_god,auxiliary_gods,price_rows,last_price_date,price_file
sh.600000,SH600000,浦发银行,SH,Shanghai Main,1999-11-10,09:30:00,Asia/Shanghai,1999-11-10T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,1999-11-10,0,aligned,1999-11-10,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,己卯 乙亥 丙寅 癸巳,丙,亥,甲,戊、庚、壬,6393,2026-09-18,by_symbol/SH600000.parquet
sh.600004,SH600004,白云机场,SH,Shanghai Main,2003-04-28,09:30:00,Asia/Shanghai,2003-04-28T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2003-04-28,0,aligned,2003-04-28,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,癸未 丙辰 辛未 癸巳,辛,辰,壬,甲,5634,2026-09-18,by_symbol/SH600004.parquet
sh.600006,SH600006,东风股份,SH,Shanghai Main,1999-07-27,09:30:00,Asia/Shanghai,1999-07-27T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,1999-07-27,0,aligned,1999-07-27,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,己卯 辛未 庚辰 辛巳,庚,未,丁,甲,6471,2026-09-18,by_symbol/SH600006.parquet
sh.600007,SH600007,中国国贸,SH,Shanghai Main,1999-03-12,09:30:00,Asia/Shanghai,1999-03-12T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,1999-03-12,0,aligned,1999-03-12,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,己卯 丁卯 癸亥 丁巳,癸,卯,庚,辛,6621,2026-09-18,by_symbol/SH600007.parquet
sh.600008,SH600008,首创环保,SH,Shanghai Main,2000-04-27,09:30:00,Asia/Shanghai,2000-04-27T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2000-04-27,0,aligned,2000-04-27,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,庚辰 庚辰 乙卯 辛巳,乙,辰,癸,丙、戊,6307,2026-09-18,by_symbol/SH600008.parquet
sh.600009,SH600009,上海机场,SH,Shanghai Main,1998-02-18,09:30:00,Asia/Shanghai,1998-02-18T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,1998-02-18,0,aligned,1998-02-18,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,戊寅 甲寅 丙申 癸巳,丙,寅,壬,庚,6880,2026-09-18,by_symbol/SH600009.parquet
sh.600010,SH600010,包钢股份,SH,Shanghai Main,2001-03-09,09:30:00,Asia/Shanghai,2001-03-09T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2001-03-09,0,aligned,2001-03-09,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,辛巳 辛卯 辛未 癸巳,辛,卯,壬,甲,6079,2026-09-18,by_symbol/SH600010.parquet
sh.600011,SH600011,华能国际,SH,Shanghai Main,2001-12-06,09:30:00,Asia/Shanghai,2001-12-06T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2001-12-06,0,aligned,2001-12-06,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,辛巳 己亥 癸卯 丁巳,癸,亥,庚,辛、戊、丁,5944,2026-09-18,by_symbol/SH600011.parquet
sh.600012,SH600012,皖通高速,SH,Shanghai Main,2003-01-07,09:30:00,Asia/Shanghai,2003-01-07T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2003-01-07,0,aligned,2003-01-07,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,壬午 癸丑 庚辰 辛巳,庚,丑,丙,丁、甲,5691,2026-09-18,by_symbol/SH600012.parquet
sh.600015,SH600015,华夏银行,SH,Shanghai Main,2003-09-12,09:30:00,Asia/Shanghai,2003-09-12T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2003-09-12,0,aligned,2003-09-12,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,癸未 辛酉 戊子 丁巳,戊,酉,丙,癸,5493,2026-09-18,by_symbol/SH600015.parquet
sh.600016,SH600016,民生银行,SH,Shanghai Main,2000-12-19,09:30:00,Asia/Shanghai,2000-12-19T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2000-12-19,0,aligned,2000-12-19,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,庚辰 戊子 辛亥 癸巳,辛,子,丙,戊、壬、甲,6182,2026-09-18,by_symbol/SH600016.parquet
sh.600017,SH600017,日照港,SH,Shanghai Main,2006-10-17,09:30:00,Asia/Shanghai,2006-10-17T09:30:00+08:00,BaoStock current listed securities metadata,常规开盘代理,medium,false,2006-10-17,0,aligned,2006-10-17,normal,not_screened,上市日与最早日线一致；尚未筛查借壳、吸收合并或经营主体重置。,丙戌 戊戌 己卯 己巳,己,戌,甲,丙、癸,4806,2026-09-18,by_symbol/SH600017.parquet
