year,ganzhi,nayin,nayin_element,leader_code,leader_cn,leader_return_pct,runner_up_code,runner_up_cn,runner_up_return_pct,leader_gap_pct,direct_hit,best_mapped_code,best_mapped_cn,best_mapped_return_pct,best_mapped_rank,best_gap_to_leader_pct,mapped_average_return_pct,cross_section_median_return_pct,mapped_average_above_median,mapped_codes,mapped_detail,mapped_detail_json,verdict,current_ciz_leader_code,current_ciz_leader_return_pct,leader_stable_vs_current_ciz
1964,甲辰,覆灯火,火,Mines,金属与非金属矿业,42.55,Carry,飞机、船舶与铁路设备,33.84,8.71,0,ElcEq,电气设备,18.67,12,23.88,8.00,16.91,0,"BusEq,ElcEq,Telcm",电气设备(ElcEq) +18.67% / 第12；计算机、电子与商业设备(BusEq) +2.91% / 第26；通信(Telcm) +2.43% / 第27,"[{""code"":""ElcEq"",""name"":""电气设备"",""returnPct"":18.67,""rank"":12},{""code"":""BusEq"",""name"":""计算机、电子与商业设备"",""returnPct"":2.91,""rank"":26},{""code"":""Telcm"",""name"":""通信"",""returnPct"":2.43,""rank"":27}]",未直中，数据不支持,Mines,42.22,1
1965,乙巳,覆灯火,火,Games,娱乐休闲,85.92,Carry,飞机、船舶与铁路设备,61.70,24.22,0,ElcEq,电气设备,49.62,4,36.30,26.09,31.36,0,"BusEq,ElcEq,Telcm",电气设备(ElcEq) +49.62% / 第4；计算机、电子与商业设备(BusEq) +33.89% / 第12；通信(Telcm) -5.23% / 第30,"[{""code"":""ElcEq"",""name"":""电气设备"",""returnPct"":49.62,""rank"":4},{""code"":""BusEq"",""name"":""计算机、电子与商业设备"",""returnPct"":33.89,""rank"":12},{""code"":""Telcm"",""name"":""通信"",""returnPct"":-5.23,""rank"":30}]",未直中，近似对应,Games,85.88,1
1966,丙午,天河水,水,Coal,煤炭,14.74,BusEq,计算机、电子与商业设备,8.37,6.37,0,Carry,飞机、船舶与铁路设备,-1.66,7,16.40,-7.62,-5.90,0,"Carry,Servs,Util",飞机、船舶与铁路设备(Carry) -1.66% / 第7；公用事业(Util) -5.41% / 第14；个人与商业服务(Servs) -15.78% / 第23,"[{""code"":""Carry"",""name"":""飞机、船舶与铁路设备"",""returnPct"":-1.66,""rank"":7},{""code"":""Util"",""name"":""公用事业"",""returnPct"":-5.41,""rank"":14},{""code"":""Servs"",""name"":""个人与商业服务"",""returnPct"":-15.78,""rank"":23}]",未直中，弱对应,Coal,12.08,1
1967,丁未,天河水,水,Meals,餐饮与酒店,149.81,Servs,个人与商业服务,110.87,38.94,0,Servs,个人与商业服务,110.87,2,38.94,51.35,39.80,1,"Carry,Servs,Util",个人与商业服务(Servs) +110.87% / 第2；飞机、船舶与铁路设备(Carry) +41.84% / 第13；公用事业(Util) +1.34% / 第29,"[{""code"":""Servs"",""name"":""个人与商业服务"",""returnPct"":110.87,""rank"":2},{""code"":""Carry"",""name"":""飞机、船舶与铁路设备"",""returnPct"":41.84,""rank"":13},{""code"":""Util"",""name"":""公用事业"",""returnPct"":1.34,""rank"":29}]",未直中，近似对应,Meals,147.70,1
1968,戊申,大驿土,土,Meals,餐饮与酒店,56.03,Fin,银行、保险、地产与交易,54.50,1.53,0,Fin,银行、保险、地产与交易,54.50,2,1.53,35.52,20.73,1,"Trans,Cnstr,Fin",银行、保险、地产与交易(Fin) +54.50% / 第2；建筑与建材(Cnstr) +34.92% / 第5；运输与仓储(Trans) +17.15% / 第17,"[{""code"":""Fin"",""name"":""银行、保险、地产与交易"",""returnPct"":54.5,""rank"":2},{""code"":""Cnstr"",""name"":""建筑与建材"",""returnPct"":34.92,""rank"":5},{""code"":""Trans"",""name"":""运输与仓储"",""returnPct"":17.15,""rank"":17}]",未直中，近似对应,Meals,57.14,1
1969,己酉,大驿土,土,Hlth,医疗、器械与制药,22.66,Hshld,家居与消费品,6.40,16.26,0,Fin,银行、保险、地产与交易,-14.37,16,37.03,-21.14,-14.33,0,"Trans,Cnstr,Fin",银行、保险、地产与交易(Fin) -14.37% / 第16；建筑与建材(Cnstr) -14.66% / 第17；运输与仓储(Trans) -34.40% / 第29,"[{""code"":""Fin"",""name"":""银行、保险、地产与交易"",""returnPct"":-14.37,""rank"":16},{""code"":""Cnstr"",""name"":""建筑与建材"",""returnPct"":-14.66,""rank"":17},{""code"":""Trans"",""name"":""运输与仓储"",""returnPct"":-34.4,""rank"":29}]",未直中，数据不支持,Hlth,22.68,1
1970,庚戌,钗钏金,金,Coal,煤炭,54.64,Smoke,烟草,32.54,22.10,0,Hshld,家居与消费品,-4.80,20,59.44,-10.56,-2.67,0,"BusEq,Hlth,Hshld",家居与消费品(Hshld) -4.80% / 第20；医疗、器械与制药(Hlth) -6.18% / 第21；计算机、电子与商业设备(BusEq) -20.69% / 第26,"[{""code"":""Hshld"",""name"":""家居与消费品"",""returnPct"":-4.8,""rank"":20},{""code"":""Hlth"",""name"":""医疗、器械与制药"",""returnPct"":-6.18,""rank"":21},{""code"":""BusEq"",""name"":""计算机、电子与商业设备"",""returnPct"":-20.69,""rank"":26}]",未直中，数据不支持,Coal,54.65,1
1971,辛亥,钗钏金,金,Trans,运输与仓储,48.84,Meals,餐饮与酒店,47.50,1.34,0,Hshld,家居与消费品,30.35,7,18.49,22.08,19.70,1,"BusEq,Hlth,Hshld",家居与消费品(Hshld) +30.35% / 第7；医疗、器械与制药(Hlth) +23.48% / 第12；计算机、电子与商业设备(BusEq) +12.41% / 第21,"[{""code"":""Hshld"",""name"":""家居与消费品"",""returnPct"":30.35,""rank"":7},{""code"":""Hlth"",""name"":""医疗、器械与制药"",""returnPct"":23.48,""rank"":12},{""code"":""BusEq"",""name"":""计算机、电子与商业设备"",""returnPct"":12.41,""rank"":21}]",未直中，弱对应,Trans,49.23,1
1972,壬子,桑柘木,木,Meals,餐饮与酒店,33.00,Hshld,家居与消费品,31.56,1.44,0,Paper,纸业、办公用品与包装,19.47,11,13.53,13.49,14.62,0,"Food,Txtls,Paper",纸业、办公用品与包装(Paper) +19.47% / 第11；食品与农产品(Food) +17.10% / 第13；纺织(Txtls) +3.90% / 第24,"[{""code"":""Paper"",""name"":""纸业、办公用品与包装"",""returnPct"":19.47,""rank"":11},{""code"":""Food"",""name"":""食品与农产品"",""returnPct"":17.1,""rank"":13},{""code"":""Txtls"",""name"":""纺织"",""returnPct"":3.9,""rank"":24}]",未直中，数据不支持,Meals,32.97,1
1973,癸丑,桑柘木,木,Mines,金属与非金属矿业,40.33,Steel,钢铁与初级金属,11.53,28.80,0,Paper,纸业、办公用品与包装,-0.20,5,40.53,-20.62,-23.45,1,"Food,Txtls,Paper",纸业、办公用品与包装(Paper) -0.20% / 第5；食品与农产品(Food) -20.22% / 第13；纺织(Txtls) -41.44% / 第27,"[{""code"":""Paper"",""name"":""纸业、办公用品与包装"",""returnPct"":-0.2,""rank"":5},{""code"":""Food"",""name"":""食品与农产品"",""returnPct"":-20.22,""rank"":13},{""code"":""Txtls"",""name"":""纺织"",""returnPct"":-41.44,""rank"":27}]",未直中，近似对应,Mines,40.22,1
1974,甲寅,大溪水,水,Coal,煤炭,32.54,Smoke,烟草,1.24,31.30,0,Util,公用事业,-19.47,7,52.01,-27.53,-27.38,0,"Util,Trans,Servs",公用事业(Util) -19.47% / 第7；运输与仓储(Trans) -25.61% / 第13；个人与商业服务(Servs) -37.51% / 第26,"[{""code"":""Util"",""name"":""公用事业"",""returnPct"":-19.47,""rank"":7},{""code"":""Trans"",""name"":""运输与仓储"",""returnPct"":-25.61,""rank"":13},{""code"":""Servs"",""name"":""个人与商业服务"",""returnPct"":-37.51,""rank"":26}]",未直中，弱对应,Coal,32.61,1
