year,rank,industry_code,industry_cn,industry_en,return_pct,source_snapshot,weighting
1964,1,Mines,金属与非金属矿业,"Precious Metals, Non-Metallic, and Industrial Metal Mining",42.55,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,2,Carry,飞机、船舶与铁路设备,"Aircraft, Ships, and Railroad Equipment",33.84,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,3,Rtail,零售,Retail,32.81,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,4,Txtls,纺织,Textiles,31.19,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,5,FabPr,制成品与机械,Fabricated Products and Machinery,27.30,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,6,Oil,石油与天然气,Petroleum and Natural Gas,27.18,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,7,Autos,汽车与卡车,Automobiles and Trucks,26.93,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,8,Books,印刷出版,Printing and Publishing,25.70,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,9,Meals,餐饮与酒店,"Restaurants, Hotels, Motels",24.17,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,10,Trans,运输与仓储,Transportation,20.12,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,11,Chems,化工,Chemicals,18.91,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,12,ElcEq,电气设备,Electrical Equipment,18.67,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,13,Clths,服装鞋履,Apparel,18.57,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,14,Servs,个人与商业服务,Personal and Business Services,17.95,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,15,Beer,酒类,Beer & Liquor,17.32,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,16,Hlth,医疗、器械与制药,"Healthcare, Medical Equipment, Pharmaceutical Products",16.50,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,17,Util,公用事业,Utilities,16.20,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,18,Cnstr,建筑与建材,Construction and Construction Materials,12.33,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,19,Whlsl,批发,Wholesale,12.16,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,20,Hshld,家居与消费品,Consumer Goods,11.68,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,21,Food,食品与农产品,Food Products,11.06,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,22,Steel,钢铁与初级金属,Steel Works Etc,9.36,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,23,Smoke,烟草,Tobacco Products,7.39,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,24,Coal,煤炭,Coal,5.57,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,25,Paper,纸业、办公用品与包装,Business Supplies and Shipping Containers,3.05,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,26,BusEq,计算机、电子与商业设备,Business Equipment,2.91,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,27,Telcm,通信,Communication,2.43,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,28,Fin,银行、保险、地产与交易,"Banking, Insurance, Real Estate, Trading",0.40,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,29,Other,其他,Other,-1.75,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1964,30,Games,娱乐休闲,Recreation,-5.83,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,1,Games,娱乐休闲,Recreation,85.92,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,2,Carry,飞机、船舶与铁路设备,"Aircraft, Ships, and Railroad Equipment",61.70,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,3,Books,印刷出版,Printing and Publishing,51.00,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,4,ElcEq,电气设备,Electrical Equipment,49.62,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,5,Txtls,纺织,Textiles,46.58,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,6,Whlsl,批发,Wholesale,40.56,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,7,Hshld,家居与消费品,Consumer Goods,38.62,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,8,Servs,个人与商业服务,Personal and Business Services,37.35,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,9,Mines,金属与非金属矿业,"Precious Metals, Non-Metallic, and Industrial Metal Mining",34.74,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,10,Other,其他,Other,34.68,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,11,Clths,服装鞋履,Apparel,34.06,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,12,BusEq,计算机、电子与商业设备,Business Equipment,33.89,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,13,Trans,运输与仓储,Transportation,33.56,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,14,Hlth,医疗、器械与制药,"Healthcare, Medical Equipment, Pharmaceutical Products",32.20,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,15,FabPr,制成品与机械,Fabricated Products and Machinery,31.59,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,16,Meals,餐饮与酒店,"Restaurants, Hotels, Motels",31.12,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,17,Beer,酒类,Beer & Liquor,26.29,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,18,Steel,钢铁与初级金属,Steel Works Etc,23.71,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,19,Cnstr,建筑与建材,Construction and Construction Materials,17.44,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,20,Paper,纸业、办公用品与包装,Business Supplies and Shipping Containers,14.65,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,21,Coal,煤炭,Coal,12.80,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,22,Smoke,烟草,Tobacco Products,11.88,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,23,Autos,汽车与卡车,Automobiles and Trucks,10.84,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,24,Chems,化工,Chemicals,8.96,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,25,Fin,银行、保险、地产与交易,"Banking, Insurance, Real Estate, Trading",8.75,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,26,Food,食品与农产品,Food Products,7.95,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,27,Rtail,零售,Retail,5.42,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,28,Oil,石油与天然气,Petroleum and Natural Gas,3.93,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,29,Util,公用事业,Utilities,2.87,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1965,30,Telcm,通信,Communication,-5.23,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1966,1,Coal,煤炭,Coal,14.74,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1966,2,BusEq,计算机、电子与商业设备,Business Equipment,8.37,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
1966,3,Books,印刷出版,Printing and Publishing,7.73,Kenneth French 2024-12 Legacy/FIZ archive,value-weighted total return
